,Unnamed: 0,average_minter_speed,beacon_num_trans_threshold,beacon_shout,broadcast_percentage_selection,decision_thres,dspend_all,dspend_main,failed,gini,loser_nodes,majority_threshold,mean_num_transactions,num_minters,num_orphan_transactions,num_users,perc_evil_minters,perc_evil_users,transaction_volume
218,11,994.092391304348,57,True,0.0917827598885159,0.7440990750777697,18956,0,True,0.0,368,0.2,1644.0,368,3288,1326,0.4003575427076509,0.3508323076606035,0.13107837680717144
219,12,948.6296296296297,140,True,0.055851300980336346,0.7369207734288735,776,0,True,-2.582023920909313e-18,81,0.2,902.0,81,1804,797,0.12709560572017298,0.5210449949205197,0.07314508916920391
220,13,979.4120370370372,123,True,0.252779050737999,0.5000100000000001,9330,0,True,0.0,216,0.2,2238.0,216,4476,987,0.23805325466226002,0.006675261962344714,0.15949547271902925
221,14,1008.1724137931036,136,True,0.17084680411590164,0.5000100000000001,2692,0,True,3.5810614760387903e-17,174,0.2,1044.0,174,2088,317,0.26174530226871257,0.19054747143717568,0.0712375834704972
222,15,954.4553571428572,30,True,0.2545331215843233,0.8478669433419955,12122,0,True,0.0,224,0.2,1540.0,224,3080,475,0.4410379146737943,0.2269893330383987,0.09844991106823604
223,16,995.1549893842888,320,True,0.2729958802105001,0.8655786156734203,16314,0,True,0.0,471,0.2,1603.0,471,3206,705,0.2366815099657159,0.4883344438033258,0.0962527040577434
224,17,1001.0631067961164,41,True,0.1293287281051187,0.702280754870052,31772,0,True,-5.1098226622938276e-17,206,0.2,2950.0,206,5900,712,0.5627270258365462,0.1619884099587175,0.17090269007253953
225,18,1078.953125,326,True,0.05858083395333595,0.8239215302678662,4300,0,True,-2.941086622410765e-17,192,0.2,2566.0,192,5132,785,0.09893226674096747,0.2762397004944752,0.14473439215824632
226,19,986.5,101,True,0.06253113933885633,0.5000100000000001,814,0,True,0.0,40,0.2,958.0,40,1916,217,0.11749253178264532,0.25062836809438865,0.04687509221444519
0,0,989.1123595505617,32,True,0.1481308735633195,0.5000100000000001,552,0,True,-2.1387020508882717e-18,89,0.2,21.166666666666668,89,127,104,0.17752928821392056,0.4734327592856302,0.17535530959652967
1,1,973.7446808510637,438,True,0.12288420136399746,0.5000100000000001,6396,0,True,-9.586158298486872e-18,94,0.2,171.875,94,1375,1320,0.3521838815359488,0.2482502400989664,0.10242797197506202
2,2,1018.678217821782,946,True,0.094773076463363,0.7955430659085552,5877,0,True,0.0,202,0.2,158.13333333333333,202,2372,2057,0.029851854972321918,0.14984871269441322,0.0401910470414713
3,3,984.0271115745568,158,True,0.1259870735605077,0.5000100000000001,13528,0,True,3.772446045915503e-17,959,0.2,510.0,959,1020,344,0.5785141165286093,0.23361870313336694,0.1167706668365683
